Unnamed: 0,_id,Memory (RAM),Screen size,Weight,Hard drives,Size (length x width x height),Price,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
6308,6589cf818997406b55ed8f14,8,13.5,1.19,250,69.105393,17999760.0,5125,2690,0,1,0,0,0
6309,6589cf818997406b55ed8f15,32,15.0,1.15,1000,84.935964,47999760.0,9960,2690,0,0,0,1,0
6311,6589cf818997406b55ed8f19,64,15.6,2.22,8000,158.144,70656000.0,15486,22459,0,0,1,0,0
6316,6589cf828997406b55ed8f1f,16,15.6,1.78,1000,109.53852,12000000.0,5002,2690,0,0,1,0,0
6326,6589cf838997406b55ed8f32,16,15.6,2.68,500,141.408524,38376000.0,15486,23757,1,0,1,0,0
6328,6589cf838997406b55ed8f35,64,17.3,2.25,4000,178.425828,38879760.0,15486,17090,0,0,1,0,0
6329,6589cf838997406b55ed8f36,16,15.6,2.2,500,135.052056,21527760.0,12472,17090,0,0,1,0,0
6330,6589cf838997406b55ed8f38,32,17.3,2.3,1000,160.28096,37656000.0,12390,17090,1,0,0,0,0
6339,6589cf858997406b55ed8f48,64,15.6,2.44,1000,140.11452,32376000.0,12472,10181,1,0,0,0,0
6342,6589cf858997406b55ed8f51,8,13.3,1.31,1000,58.35815,16559760.0,5002,2690,0,1,0,0,0
6344,6589cf868997406b55ed8f54,64,15.6,2.31,1000,,29856000.0,14193,23757,1,0,0,0,0
6345,6589cf868997406b55ed8f56,32,15.6,2.72,1000,135.47844,40776000.0,12390,22459,1,0,0,0,0
6346,6589cf868997406b55ed8f57,64,17.3,2.9,2000,180.42304,36719760.0,15486,17090,1,0,1,0,0
6347,6589cf868997406b55ed8f59,64,17.3,2.8,16000,157.671024,103416000.0,15486,17090,1,0,1,0,0
6353,6589cf878997406b55ed8f66,32,17.3,2.72,2000,178.238268,50856000.0,16894,17090,1,0,1,0,0
6354,6589cf878997406b55ed8f67,64,17.3,2.72,2000,175.46499,23016000.0,8648,7869,1,0,0,0,0
6355,6589cf878997406b55ed8f69,16,16.0,1.26,1000,93.35844,31176000.0,12205,2690,0,1,0,1,0
6358,6589cf888997406b55ed8f70,16,14.0,1.65,8000,84.533064,80136000.0,17509,26883,0,0,1,0,0
6362,6589cf898997406b55ed8f78,16,16.0,1.19,1000,87.805608,38616000.0,5125,2690,0,1,0,1,0
6364,6589cf898997406b55ed8f7a,16,15.6,1.65,500,90.057075,14376000.0,8110,2690,0,0,1,0,0
6365,6589cf898997406b55ed8f7b,64,17.3,3.3,2000,184.760667,116856000.0,31343,38875,1,0,1,0,0
6370,6589cf8a8997406b55ed8f86,64,15.6,2.6,2000,156.7638,80736000.0,15486,23757,1,0,1,0,0
6371,6589cf8a8997406b55ed8f88,16,14.0,1.12,1000,65.33208,28554480.0,5125,2690,0,1,0,1,0
6375,6589cf8a8997406b55ed8f91,64,15.6,2.72,4000,222.0,100799760.0,9400,11157,1,0,0,0,0
6376,6589cf8b8997406b55ed8f92,64,17.3,2.9,4000,178.238268,67199760.0,19686,27325,1,0,1,0,0
6377,6589cf8b8997406b55ed8f96,32,15.6,2.38,1000,136.239028,47999760.0,12390,22459,1,0,0,0,0
6378,6589cf8b8997406b55ed8f99,16,17.3,4.93,1000,178.238268,40128000.0,16894,17090,0,1,1,1,0
6379,6589cf8b8997406b55ed8f9a,64,17.3,2.6,2000,169.696278,23999760.0,8648,7869,1,0,0,0,0
6381,6589cf8b8997406b55ed8f9b,16,17.3,2.8,1000,149.8722,40776000.0,17231,26883,1,0,1,0,0
6384,6589cf8c8997406b55ed8fa1,32,15.6,2.49,4000,171.644175,98616000.0,15486,27325,1,0,1,0,0
6389,6589cf8d8997406b55ed8fad,32,15.6,2.1,4000,97.085755,74280000.0,15486,23757,0,0,1,0,0
6390,6589cf8d8997406b55ed8faf,64,17.3,2.72,4000,320.0,107736000.0,15486,23757,1,0,1,0,0
6391,6589cf8d8997406b55ed8fb0,16,15.6,2.49,8000,150.0,103896000.0,13081,22459,1,0,0,0,0
6393,6589cf8e8997406b55ed8fb2,16,13.5,1.29,500,63.888,24479760.0,5524,2690,0,1,0,1,0
6394,6589cf8e8997406b55ed8fb4,32,15.6,2.4,1000,130.5801,48216000.0,15486,23757,1,0,1,0,0
6395,6589cf8e8997406b55ed8fb5,16,14.0,1.29,1000,,,5524,7577,0,1,0,1,0
6396,6589cf8e8997406b55ed8fb8,32,17.3,2.79,1000,171.089088,39359760.0,15486,23757,1,0,1,0,0
6400,6589cf8f8997406b55ed8fc0,48,14.0,1.65,8000,84.533064,76776000.0,17509,19573,0,0,1,0,0
6404,6589cf8f8997406b55ed8fc5,16,14.0,1.22,1000,81.10674,21599760.0,5524,2690,0,1,0,1,0
6406,6589cf908997406b55ed8fcb,16,14.0,1.3,1000,72.959784,28416000.0,5125,3729,0,1,0,1,0
6409,6589cf908997406b55ed8fce,64,15.6,2.5,2000,160.491738,31390560.0,14193,23757,1,0,1,0,0
6412,6589cf908997406b55ed8fd1,16,17.0,2.8,500,171.089088,30711840.0,20930,19573,1,0,1,0,0
6413,6589cf908997406b55ed8fd3,32,17.3,2.72,2000,320.0,90696000.0,15486,23757,1,0,1,0,0
6419,6589cf918997406b55ed8fdc,32,16.0,2.68,2000,109.087524,34080000.0,19204,19573,1,0,1,0,0
6423,6589cf928997406b55ed8fe5,16,16.0,2.67,1000,176.053696,50376000.0,20930,34630,1,0,1,0,0
6424,6589cf928997406b55ed8fe8,32,16.0,2.75,500,135.47844,32616000.0,15486,10181,1,0,0,0,0
6425,6589cf928997406b55ed8fe9,64,16.0,2.75,500,135.47844,35016000.0,15486,10181,1,0,0,0,0
6426,6589cf928997406b55ed8fea,16,15.6,2.6,500,156.7638,31176000.0,15486,17090,1,0,1,0,0
6427,6589cf928997406b55ed8feb,24,15.6,1.66,1000,100.389828,13176000.0,3056,2690,0,0,1,0,0
6430,6589cf928997406b55ed8fef,32,15.6,2.49,500,150.0,46296000.0,13081,22459,1,0,0,0,0
6431,6589cf938997406b55ed8ff2,64,15.6,2.4,8000,130.5801,66936000.0,27225,19573,1,0,1,0,0
6432,6589cf938997406b55ed8ff3,32,15.6,2.44,8000,152.14116,118536000.0,13081,25353,1,0,0,0,0
6433,6589cf938997406b55ed8ff5,64,16.0,2.3,2000,120.661728,48956640.0,16894,27325,1,0,1,0,0
6436,6589cf938997406b55ed8ffa,32,17.3,2.8,4000,208.85205,62376000.0,34939,26883,1,0,1,0,0
6437,6589cf938997406b55ed8ffe,64,15.6,2.38,1000,136.239028,83496000.0,17166,27325,1,0,1,0,0
6438,6589cf938997406b55ed8fff,32,16.0,2.7,2000,172.90988,59976000.0,31343,26883,1,0,1,0,0
6439,6589cf948997406b55ed9000,16,15.6,3.42,500,151.509168,23256000.0,10305,12960,1,0,0,0,0
6440,6589cf948997406b55ed9002,32,16.0,2.89,2000,106.8228,57576000.0,15486,27325,1,0,1,0,0
6441,6589cf948997406b55ed9003,64,16.0,2.49,2000,162.019,48456000.0,18606,26883,1,0,1,0,0
6445,6589cf948997406b55ed900b,64,15.6,2.4,2000,150.2644,86616000.0,15486,23757,1,0,1,0,0
6446,6589cf948997406b55ed900c,32,16.0,2.2,2000,147.002496,44136000.0,17509,15028,0,0,1,0,0
6449,6589cf958997406b55ed9011,32,17.3,2.7,1000,166.767975,45576000.0,19204,26883,1,0,1,0,0
6452,6589cf958997406b55ed9015,32,17.3,2.9,1000,178.238268,45576000.0,16894,17090,1,0,1,0,0
6454,6589cf958997406b55ed9017,64,16.0,2.3,2000,121.91958,89976000.0,19204,38875,1,0,1,0,0
6457,6589cf968997406b55ed901e,64,16.0,2.5,1000,128.904574,53976000.0,31343,19573,1,0,1,0,0
6459,6589cf968997406b55ed9021,32,17.3,2.9,1000,178.238268,57096000.0,19686,27325,1,0,1,0,0
6460,6589cf968997406b55ed9023,32,17.3,2.8,2000,178.238268,54936000.0,34939,26883,1,0,1,0,0
6461,6589cf968997406b55ed9024,64,16.0,2.1,2000,100.24956,33599760.0,9960,2690,0,0,1,0,0
