Unnamed: 0,_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Price,Name,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
51,6589cbac8997406b55ed5f10,AMD Ryzen 9 7945HX,GeForce RTX 4090,64,17.3,Quad HD(2560 x 1440 pixels),6.61 lbs(3 kg),8000gb SSD,15.55 x 11.1 x 1.11 inches,Windows 11 Pro,17-Dec-23,112896000,HIDevolution 2023 ASUS ROG Strix Scar 17 G733PYV (G733PYV-XH97-HID7),34939,38875,1,0,1,0,0
52,6589cbac8997406b55ed5f12,Intel Core i7-12800HX,GeForce RTX 3070 Ti,64,17.3,Quad HD(2560 x 1440 pixels),6.39 lbs(2.9 kg),4000gb SSD,15.63 x 11.18 x 1.02 inches,Windows 11 Pro,25-Jun-22,67080000,EXcaliberPC MSI 17″ (Raider GE77HX 12UGS-004),19686,23757,1,0,1,0,0
53,6589cbac8997406b55ed5f15,Intel Core i9-13900HX,GeForce RTX 4050,64,17.3,Full HD(1920 x 1080 pixels),6.28 lbs(2.85 kg),4000gb SSD,15.63 x 10.32 x 1.11 inches,Windows 11 Home,20-Nov-23,50376000,Sager NP7881C 17″ (7881C-B2-9-L1),27225,14693,1,0,0,0,0
54,6589cbac8997406b55ed5f16,Intel Core i5-1135G7,Intel Iris Xe,12,15.6,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),500gb SSD,14.18 x 9.21 x 0.7 inches,Windows 10 Home,24-Sep-21,16319760,HP Pavilion 15 (15-eg0053cl),5002,2690,0,0,0,0,0
55,6589cbac8997406b55ed5f17,AMD Ryzen 7 6800H,GeForce RTX 3070 Ti,32,15.6,Quad HD(2560 x 1440 pixels),4.4 lbs(2 kg),1000gb SSD,14.3 x 10.7 x 1.16 inches,Windows 11 Pro,13-Aug-23,29496000,Acer Nitro 5 15,14193,23757,0,0,0,0,0
56,6589cbad8997406b55ed5f1c,Intel Core i9-13900HX,GeForce RTX 4080,16,16,Quad HD(2560 x 1440 pixels),5.3 lbs(2.4 kg),1000gb SSD,14.05 x 10.78 x 1.1 inches,0biet,29-Jun-23,45598800,Eluktronics Prometheus XVI G2 16″ (Prometheus XVI G2),27225,34630,1,0,1,0,0
57,6589cbad8997406b55ed5f1e,Intel Core i7-12650H,GeForce RTX 3060,16,16,Quad HD Plus(3200 x 1800 pixels),8.9 lbs(4.04 kg),1000gb SSD,0biet,Windows 11 Home,20-Mar-22,38376000,MSI Creator M16 (Creator M16 A12UEV-468),13152,17090,1,0,0,0,0
58,6589cbad8997406b55ed5f23,AMD Ryzen 7 5800H,GeForce RTX 3060,64,15.6,Full HD(1920 x 1080 pixels),5.06 lbs(2.3 kg),2000gb SSD,14.09 x 10.04 x 0.93 inches,Windows 11 Home,2-Sep-22,31199760,HP Victus 15t,12472,17090,1,0,0,0,0
59,6589cbad8997406b55ed5f25,Intel Core i7-12700H,GeForce RTX 3070,32,15.6,Full HD(1920 x 1080 pixels),4.96 lbs(2.25 kg),1000gb SSD,14.13 x 10.2 x 0.94 inches,Windows 11,5-Dec-22,47256000,MSI Pulse GL66 15″,15486,22459,0,0,1,0,0
60,6589cbad8997406b55ed5f27,Intel Core i7-1255U,GeForce MX550,32,15.6,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),1000gb SSD,14.18 x 9.21 x 0.7 inches,Windows 10 Pro,1-Aug-23,27599760,HP 15-EG2373,8018,4608,0,0,0,0,0
